study_type,sample_size,technology,disease_focus,key_finding,clinical_relevance,pmid,title,year
basic_research,,bulk RNA-sequencing,Trypanosoma cruzi infection,"A method for analyzing TCR and IgG immune repertoires from bulk RNA-seq data of PBMCs, focusing on CDR3 sequence diversity to understand host adaptive immune responses to T. cruzi infection in Rhesus macaques.",medium,41182622,Profiling T Cell Receptor and Immunoglobulin Repertoires Through RNA Sequencing to Understand Host Response to Trypanosoma cruzi Infection.,2026
clinical,100.0,"TCR repertoire sequencing, bulk transcriptomics, flow cytometry",Psoriasis vulgaris,"Psoriasis vulgaris drives dynamic remodeling of γδ T cell repertoires in both blood and skin that is shaped by disease severity, age, and sex, with circulating γδ T cells adopting an activated, cytotoxic, tissue-homing phenotype.",high,41181116,"Psoriasis vulgaris leaves a dynamic imprint on circulating and skin γδ TCR repertoires shaped by disease severity, age, and sex.",2025
computational,,TCR-seq,Systemic Lupus Erythematosus,"DeepTAPE, a deep learning framework analyzing TCRβ CDR3 sequences, achieves robust classification performance for SLE diagnosis and enables discovery of immunological biomarkers.",high,41174657,Deep learning-driven TCRβ repertoire analysis enhances diagnosis and enables mining of immunological biomarkers in systemic lupus erythematosus.,2025
clinical,8054.0,TCR sequencing,"lung cancer, indeterminate pulmonary nodules",TCR repertoire analysis integrated with clinical and imaging data (TCRnodseek plus) demonstrates superior diagnostic performance for distinguishing benign from malignant indeterminate pulmonary nodules.,high,41150899,Large-Scale T-cell Receptor Repertoire Profiling Unveils Tumor-Specific Signals for Diagnosing Indeterminate Pulmonary Nodules.,2025
basic_research,,HTGTS-TCR-seq,none,"HTGTS-TCR-seq enables efficient quantitative profiling of TCR α and β gene rearrangements, revealing stage-specific V and J usage, age-associated repertoire alterations, and conserved CDR3 features across mouse and human T cells.",medium,41144713,HTGTS-TCR-Seq for Profiling of Mouse and Human T-Cell Receptor α and β Gene Rearrangements and Diversity.,2026
clinical,,next-generation sequencing of TCR β chain (TCRB),"multiple myeloma, monoclonal gammopathy of undetermined significance, smoldering multiple myeloma","Machine learning analysis revealed distinct TCR clusters with different amino acid properties that differentiate healthy individuals from patients with plasma cell dyscrasias, despite no significant differences in overall TCR repertoire diversity.",medium,41144424,Machine learning reveals distinct T-cell receptor clusters in plasma cell dyscrasias compared to healthy controls.,2025
clinical,,,anti-Jo1+ antisynthetase syndrome,Autoreactive T cells in anti-Jo1+ antisynthetase syndrome patients recognize a novel epitope on histidyl t-RNA synthetase.,high,41139557,Autoreactive T cells identified in patients with anti-Jo1+ antisynthetase syndrome recognise a new epitope on histidyl t-RNA synthetase.,2026
basic_research,,"single-cell RNA sequencing, single-cell TCR sequencing","thymic involution, aging, cancer and infection vulnerability","Aging reduces T-lineage potential in thymic progenitors while increasing innate lymphoid potential, leading to peripheral T cell aging characterized by reduced naive T cells and shifts in TCR repertoire diversity.",high,41136751,Single-cell analysis of human thymus and peripheral blood unveils the dynamics of T cell development and aging.,2025
clinical,,,mycosis fungoides and Sézary syndrome,"TCR clonotype patterns vary across disease stages and histologic subtypes in cutaneous T-cell lymphomas, with potential applications in risk stratification.",high,41123901,T-Cell Receptor Clonotypes and Aggressive Subtypes in Cutaneous T-Cell Lymphoma.,2026
clinical,2.0,TCR-β sequencing,chronic inflammatory demyelinating polyneuropathy (CIDP) as adverse effect of cilta-cel therapy,"CIDP is a severe complication of cilta-cel therapy that may arise from bystander expansion of autoreactive CD8⁺ T-cells rather than direct CAR-T cell activity, and early T-cell-depleting therapy may improve outcomes.",high,41115887,Chronic inflammatory demyelinating polyneuropathy (CIDP) after cilta-cel therapy.,2025
computational,,TCR β-chain sequencing,Acute Respiratory Distress Syndrome (ARDS),"NLP-based clustering of CDR3 sequences using Word2Vec and KMeans successfully distinguished immune activation states in ARDS patients from controls based on repertoire structural topology, with ARDS samples showing high dispersion and disrupted organization compared to tight clusters in healthy controls.",high,41113103,"Optimizing clustering of CDR3 sequences using natural language processing, Word2Vec, and KMeans.",2025
computational,,TCR meta-database,COVID-19,A TCR meta-database was created to identify SARS-CoV-2 epitope-specific T cells and determine whether mRNA vaccination influences the T cell repertoire diversity and complexity.,high,41112294,Patterns of restricted TCR usage following SARS-CoV-2 vaccination and severe disease.,2025
basic_research,,,hepatocellular carcinoma,Downregulated tumor lysine metabolism reshapes the immune microenvironment and influences therapeutic responses in hepatocellular carcinoma.,high,41107837,Multi-omics profiling reveals downregulated tumor lysine metabolism reshaping the immune microenvironment and therapeutic responses in hepatocellular carcinoma.,2025
computational,,"scRNA-seq, single-cell TCR sequencing","cancer, autoimmune diseases, infectious diseases","Scirpy is a Python package that enables integrated analysis of multi-modal single-cell RNA and TCR sequencing data for comprehensive characterization of T-cell repertoires, antigen specificity, and clonal dynamics.",high,41106935,Analysis of single-cell TCR repertoires and gene expression from multi-modal scRNA-seq data.,2025
,,,,,,41103436,Infiltration characteristics and regulatory mechanisms of CD8,2025
basic_research,,,cancer,Chemotherapy acts as a broad antigen-releasing agent that synergizes with TLR7/8/9 agonists to generate potent antitumor immunity in immunologically cold tumors.,high,41097803,Chemotherapy Liberates a Broadening Repertoire of Tumor Antigens for TLR7/8/9-Mediated Potent Antitumor Immunity.,2025
clinical,88.0,DNA-based next-generation sequencing (NGS) TCRβ-chain profiling,combined immunodeficiency (CID) and severe combined immunodeficiency (SCID),A reliable clinical TCRβ sequencing strategy was developed with established reference values across healthy populations that can differentiate pathological T cell repertoire characteristics in patients with RAG-SCID/CID.,high,41096855,"A High-Throughput Sequencing Strategy for Clinical Repertoire Profiling of T Cell Receptor Beta Chain: Development and Reference Values Across Healthy Adults, Paediatrics, and Cord Blood Units.",2025
basic_research,5.0,"single-cell TCR sequencing, single-cell mRNA sequencing",yellow fever vaccination; HIV-1 infection; B cell malignancy,Yellow fever vaccine-induced CD8+ T cells with TCR bias can be successfully redirected toward unrelated target cells including HIV-1-infected cells through bispecific T cell engagers.,high,41092800,TCR bias drives development of dominant vaccine-induced CD8+ T cell responses which can be redirected toward cellular targets.,2025
basic_research,,,melanoma,"Umbilical cord blood-derived cytotoxic T lymphocytes can target melanoma through HLA-A2-restricted tumor antigens, offering an alternative cell source to peripheral blood for adoptive cell therapy.",high,41088891,Umbilical cord blood-derived cytotoxic T lymphocytes target melanoma via HLA-A2-restricted tumour antigens.,2025
computational,583.0,"scRNA-seq, single-cell TCR-seq, paired TCRαβ sequencing",pan-disease (46 disease conditions),A large-scale reference of paired single-cell RNA/TCR sequencing from over 2 million T cells reveals intrinsic features of germline-encoded TCR-MHC restriction and links TCRαβ information to T cell phenotypes across multiple disease conditions at the population level.,high,41087327,A pan-disease and population-level single-cell TCRαβ repertoire reference.,2025
computational,,"immunopeptidomics, mass spectrometry-based proteomics",none,AIMS is a bioinformatics tool that enables unbiased analysis of immunopeptidomic datasets by identifying biophysical signatures and elucidating differences in MHC peptide repertoires across tissues and conditions.,medium,41085626,Utilizing Protein Bioinformatics to Delve Deeper into Immunopeptidomic Datasets with AIMS: An Automated Immune Molecule Separator.,2026
computational,,TCR sequencing,cancer (22 types),"AutoTFCNNY, a multi-instance neural network combining Transformer and CNN, achieves average AUC >0.94 for cancer detection across 22 cancer types using peripheral blood TCR repertoires.",high,41060975,AutoTFCNNY: A multi-instance neural network for enhanced early cancer detection using TCR data.,2025
clinical,,TCR-seq,Epilepsy,Peripheral TCR repertoire alterations in epilepsy reflect adaptive immune activation and may serve as immune signatures for disease diagnosis and brain atrophy severity.,high,41058231,Systemic T Cell Receptor Profiling Reveals Adaptive Immune Activation and Potential Immune Signatures of Diagnosis and Brain Atrophy in Epilepsy.,2026
computational,,TCR-seq,none,"Thymic selection shapes TCR repertoires through specific physicochemical and sequence features, with CDR3 loop structure and composition affecting CD4+ versus CD8+ lineage commitment in an MHC haplotype-dependent manner.",medium,41050667,Comprehensive analysis of αβT-cell receptor repertoires reveals signatures of thymic selection.,2025
clinical,29.0,"single-cell RNA sequencing, single-cell protein sequencing, single-cell TCR sequencing, ELISpot, flow cytometry",SARS-CoV-2,"Vaccination-induced CD8 T cell repertoires maintain polyclonality with high-avidity TCRs, which provides robustness against viral escape through epitope alterations rather than relying on clonal expansion differences.",high,41042909,Vaccination-induced T cell responses maintain polyclonality with high antigen receptor avidity.,2025
basic_research,,single-cell TCR analysis,COVID-19,The study investigates the long-term persistence and evolution of memory T-cell responses to SARS-CoV-2 spike antigen following primary infection and subsequent antigen exposures.,high,41034205,Long-persisting SARS-CoV-2 spike-specific CD4,2025
basic_research,,,none,Incomplete abstract provided - unable to extract key findings,low,41022795,Neuron-reactive KIR,2025
clinical,5.0,single-cell TCR sequencing,celiac disease,"Gluten-free diet induces significant TCR repertoire remodeling in pediatric celiac disease patients, with contraction of expanded cytotoxic CD8+ T cell clones after 9-10 months of dietary adherence.",high,41009495,Single-Cell TCR Sequencing Uncovers Remodeling of the Immune Repertoire After a Short-Term Gluten-Free Diet in Pediatric Celiac Disease.,2025
computational,,TCR-seq,"LCMV infection, tuberculosis, autoimmune diseases",ALICE and TCRNET algorithms outperform GLIPH2 and tcrdist3 for identifying antigen-specific T-cell receptors using neighborhood enrichment approaches.,high,40996146,Neighborhood enrichment for the identification of antigen-specific T-cell receptors.,2025
clinical,,"TCR immune repertoire sequencing, immunohistochemical analysis",Lumbar disc herniation,γδ T cell infiltration and reduced TCR clonal diversity in lumbar disc herniation patients predict neurological recovery and prognosis.,high,40993505,γδ T Cell Infiltration Predicts the Prognosis of Lumbar Disc Herniation.,2026
clinical,,,Merkel cell carcinoma,"Tertiary lymphoid structures in Merkel cell carcinoma promote infiltration of naïve and central memory T cells, which correlates with improved immunotherapy response to immune checkpoint inhibition.",high,40992783,Tertiary lymphoid structures in Merkel cell carcinoma facilitate naïve and central memory T-cell infiltration linked to immunotherapy response.,2025
clinical,,,lung cancer,Blood memory CD8 T cell phenotypes can predict immune checkpoint inhibitor treatment responses in lung cancer patients.,high,40989699,Blood memory CD8 T cell phenotypes in lung cancer patients predict immune checkpoint treatment responses.,2025
basic_research,,TCR sequencing,cancer,"ESPEC-SUIT is a versatile assay that enables identification and tracking of polyclonal, antigen-specific T cell receptors from both MHC class I and class II-restricted responses in cancer patients.",high,40983341,ESPEC-SUIT: a versatile and robust platform to identify and track antigen-specific T cell receptors in patients with cancer.,2025
clinical,,"['scRNA-seq', 'TCR-seq']",glioblastoma,Dual checkpoint blockade with anti-PD-1 and anti-LAG-3 promotes expansion of tumor-reactive T cell clones along a unique differentiation pathway in glioblastoma patients.,high,40964361,Dual checkpoint blockade of glioblastoma with Anti-PD-1 and Anti-LAG-3 promotes expansion of tumor-reactive T cell clones along a unique pathway of differentiation.,2025
computational,,scTCR-seq,cancer,"THLANet, a deep learning model using ESM-2 embeddings, accurately predicts TCR-neoantigen binding specificity for class I HLA-presented antigens, enabling assessment of immunogenic potential in cancer immunotherapy.",high,40939018,THLANet: A deep learning framework for predicting TCR-pHLA binding in immunotherapy applications.,2025
computational,,statistical mapping,none,Population-level analysis of TCR-HLA interactions provides foundational mapping of how T-cell receptors interact with peptides presented by human leukocyte antigens.,high,40936899,Large-scale statistical mapping of T-cell receptor ,2025
computational,19701.0,TCR-Seq,147 clinical conditions,"TCRdb2.0 is an expanded T-cell receptor sequence database containing approximately 700 million TCR sequences from nearly 20,000 samples across 46 tissues and 147 clinical conditions, with enhanced functionality for browsing and analysis.",high,40923589,TCRdb 2.0: an updated T-cell receptor sequence database.,2026
basic_research,,machine learning-based functional genetic screen,none,DDX55 suppresses activation-promoting transposable elements to maintain naïve T cell homeostasis and preserve TCR repertoire diversity.,medium,40911696,DDX55 safeguards naïve T cell homeostasis by suppressing activation-promoting transposable elements.,2025
basic_research,,,none,Incomplete abstract prevents extraction of main finding.,medium,40909501,Tissue-specific clonal selection and differentiation of CD4,2025
basic_research,,TCR-seq,none,TET2 and TET3 deletion impacts TCRα and TCRβ repertoire diversity in murine CD4 T cells in both thymic and peripheral compartments.,medium,40909275,Assessing the impact of TET2 and TET3 deletion in TCRalpha and TCRbeta repertoire in murine CD4 T cells in physiological and pathophysiological conditions.,2025
basic_research,,,β-lactam antibiotic hypersensitivity,"HLA-A*02:01 presents penicillin-modified cysteinylated peptides that can be recognized by drug-specific T cells, providing mechanistic insights into immune-mediated β-lactam hypersensitivity reactions.",high,40906332,HLA-A*02:01 Presents Penicillin-Modified Cysteinylated Peptides for T Cell Recognition.,2025
clinical,81.0,TCR-seq,solid tumors,"Tumor-derived T cell clonotypes are enriched in cell-free DNA and persist in peripheral blood during pembrolizumab treatment, suggesting cfDNA TCR repertoire analysis can serve as a non-invasive biomarker for tumor-infiltrating immune responses.",high,40875293,T cell receptor repertoire in cell-free DNA as a proxy for tumor infiltrates in patients treated with pembrolizumab.,2025
clinical,,,non-small cell lung cancer,Spatial distribution of T-cell clones in NSCLC tumors provides insights into immunogenic mechanisms and may have prognostic and predictive implications for immunotherapy response.,high,40866291,Spatial TCR clonality and clonal expansion in the in situ microenvironment of non-small cell lung cancer.,2025
basic_research,,Tseek,none,Tseek enables characterization of canine TCR repertoires with minimal bias to identify influences of genetic lineage and age and monitor immune status in dogs.,medium,40854597,The canine T cell receptor repertoire.,2025
basic_research,,,pancreatic cancer,"Traditional neo-antigen-focused methods for detecting tumor-reactive CD8+ TILs in pancreatic cancer are limited in scope and complexity, necessitating alternative approaches to better understand the biological characteristics of these cells.",high,40855305,Functional tumor-reactive CD8 + T cells in pancreatic cancer.,2025
review,,,none,Protein language models applied to TCR repertoires capture context-dependent features from unlabeled data and achieve superior generalization performance for antigen specificity prediction compared to conventional sequence representation methods.,high,40855636,TCR representation learning with protein language models: a comprehensive review.,2026
computational,,TCR sequencing,acute myeloid leukemia (AML) and hematological malignancies,Computational models were developed to detect WT1-specific T-cell responses from TCR sequencing data in healthy donors and AML patients using peptide-pulsing with WT1 epitope VLDFAPPGA.,high,40847198,Predicting antigen-specific T-cell immunity against Wilms tumor 1 in hematologic cancer.,2025
clinical,40.0,TCR sequencing,diffuse large B-cell lymphoma (DLBCL),"Zanubrutinib combined with rituximab and lenalidomide achieved a 65% complete response rate in elderly DLBCL patients, with efficacy primarily driven by tumor microenvironmental alterations and T-cell immunological memory rather than genetic changes.",high,40829156,A phase 2 study of zanubrutinib in combination with rituximab and lenalidomide in de novo diffuse large B-cell lymphoma.,2025
computational,,TCR sequencing,none,"TCR alpha and beta chain V-region loops contain amino acid signatures that distinguish MHC class I from class II recognition, with machine learning models achieving improved accuracy when both chains are analyzed.",medium,40815345,T-cell receptor insights: Determinants of Major Histocompatibility Complex class I versus class II recognition.,2025
review,,"TCR repertoire analysis, bioinformatic screening",cancer,TCR-focused approaches using patient TCR repertoire analysis can complement antigen-focused strategies to select therapeutic TCRs for personalized adoptive cell therapy in cancer immunotherapy.,high,40801654,Exploiting TCR Repertoire Analysis to Select Therapeutic TCRs for Cancer Immunotherapy.,2025
basic_research,,"TCR screening, viral genome screening, antigen-presenting cell labeling","viral infections (coronavirus, influenza B, Herpesviridae)","A functional screening workflow identified target specificities of public TCRs circulating in up to 14% of individuals, including cross-reactive seasonal coronavirus TCRs and conserved epitope-targeting TCRs for influenza and herpesvirus infections.",high,40799546,,2025
clinical,1.0,"genomic sequencing, single-cell spatial transcriptomics","T-cell lymphoma, diffuse large B-cell lymphoma","A clonally expanded T-cell population with TFH-like characteristics developed 2.5 years post-CAR-T therapy but spontaneously resolved, highlighting the need to distinguish post-CAR-T clonal lymphoproliferations from true malignant transformation.",high,40796743,A clonally expanded nodal T-cell population diagnosed as T-cell lymphoma after CAR-T therapy.,2025
clinical,,"scRNA-seq, scV(D)J-seq",COVID-19,"Disease severity in COVID-19 is associated with progressive CD8+ T cell and Treg depletion, increased CD4+ T cells and plasma cells, dysregulated immune pathways, and reduced TCR/BCR repertoire diversity.",high,40796616,Severity-specific immune landscape of COVID-19 revealed by single-cell sequencing.,2025
clinical,,"SiMSen-Seq, flow cytometry",metastatic melanoma (cutaneous and uveal),γδ T cells were characterized in peripheral blood from melanoma patients using ultrasensitive DNA sequencing and flow cytometry to inform development of γδ T cell-based immunotherapies.,high,40791601,Cellular and molecular characterization of γδ T cells in peripheral blood from patients with metastases from cutaneous and uveal melanoma.,2025
basic_research,,"['spleen transcriptome sequencing', 'TCR β CDR3 repertoire sequencing']",polycystic ovary syndrome (PCOS),IGFBP7 plays a role in immune regulation and modulation of PCOS-like symptoms through effects on immune gene expression and T cell receptor diversity in a DHEA-induced mouse model.,medium,40780684,The role of IGFBP7 in the immune regulation of PCOS-like symptoms based on spleen transcriptome and TCR β CDR3 repertoire analysis.,2025
computational,3150.0,TCRβ sequencing (TCRβseq),SARS-CoV-2/COVID-19,"TCR2HLA enables accurate inference of HLA genotypes from TCR repertoires using quasi-public metaclonotypes, achieving high classification accuracy across common HLA alleles and enabling discovery of disease-associated TCRs.",high,40777454,TCR2HLA: calibrated inference of HLA genotypes from TCR repertoires enables identification of immunologically relevant metaclonotypes.,2025
clinical,,,Autosomal-dominant Roquin-1 immunodeficiency and hyperinflammation,"Genetic variants in RC3H1 that disrupt Roquin-1 repressor activity cause primary immunodeficiency characterized by susceptibility to infections, hyperinflammation, autoimmunity, and lymphoproliferation through dysregulation of posttranscriptional mRNA stability.",high,40769319,Autosomal-dominant Roquin-1 immunodeficiency and hyperinflammation.,2025
basic_research,,"single-cell TCRseq, RNAseq",none,"Single-cell TCRseq revealed that anti-mouse TCR variable region mAbs have specific genomic targets, with consistent ERV1-family LTR expression patterns associated with TRBV segments in a defined genomic region.",medium,40751448,Genomic specificity of anti-mouse TCR mAbs determined by single-cell RNAseq.,2025
basic_research,,,none,The insulator EACBE regulates V(D)J recombination of the Tcrd gene by modulating chromatin organization to generate T cell receptor diversity.,medium,40746544,The insulator EACBE regulates V(D)J recombination of Tcrd gene by modulating chromatin organization.,2025
clinical,215.0,high-throughput TCR sequencing,colorectal cancer,"A comprehensive dataset of pre-treatment TCR repertoires from 215 newly diagnosed colorectal cancer patients reveals immune system characteristics useful for immunology research, biomarker discovery, and risk assessment.",high,40731113,A Large-Scale Dataset of Pre-Treatment TCR Repertoires in Colorectal Cancer Patients.,2025
clinical,,,hormone receptor-positive breast cancer,Characterization of tumor-specific CD8 T cell responses in hormone receptor-positive breast cancers to understand immune mechanisms in ER+ tumors.,high,40730190,Tumor-specific CD8 T cell characterization in HR,2025
clinical,,TCR sequencing,HTLV-1-associated myelopathy (HAM),"Increased TCR degeneracy in HTLV-1-specific CTLs, particularly at position 5 of the antigen, is inversely correlated with HTLV-1 proviral load and enhances antiviral efficacy against variant viruses.",high,40724852,High TCR Degeneracy Enhances Antiviral Efficacy of HTLV-1-Specific CTLs by Targeting Variant Viruses in HAM Patients.,2025
basic_research,,"10x Genomics VDJ sequencing, single-cell RNA sequencing (scRNAseq), TCR and BCR enrichment",influenza A virus (IAV) infection,"High-throughput single-cell TCR and BCR sequencing in pigs successfully identified expanded T cell clonotypes with activated phenotypes in re-exposed IAV pigs, demonstrating the utility of this approach for immune repertoire profiling.",medium,40715353,Single-cell antigen receptor sequencing in pigs with influenza.,2025
clinical,,TCR sequencing,COVID-19,Temporal dynamics and diversity of the T cell receptor repertoire are associated with recovery in patients with severe COVID-19.,high,40709175,Temporal TCR dynamics and epitope diversity mark recovery in severe COVID-19 patients.,2025
basic_research,,"single-cell transcriptomics, chromatin accessibility analysis",acute myeloid leukemia (AML) with t(8;21) translocation,Integration of single-cell transcriptomic and chromatin accessibility landscapes reveals heterogeneous cellular properties and gene regulatory programs in t(8;21) AML.,high,40707954,A multi-omic single-cell landscape reveals transcription and epigenetic regulatory features of t(8;21) AML.,2025
computational,,"['scRNA-seq', 'scVDJ-seq']",none,Integration of single-cell RNA-sequencing and adaptive immune receptor sequencing is a powerful approach for studying lymphocyte development.,medium,40687995,,2025
clinical,1050.0,TCR β chain sequencing,lung cancer,Circulating T-cell receptor repertoire functional unit analysis detected nearly 50% of stage I lung cancers at 80% specificity and improved sensitivity by up to 20 percentage points when combined with ctDNA and protein biomarkers.,high,40684046,Circulating T-cell receptor repertoire for cancer early detection.,2025
basic_research,,TCR sequencing,glioblastoma,"The iHOTT model enables study of patient-specific tumor-immune interactions in glioblastoma and demonstrates that pembrolizumab treatment induces stem-like CD4-T-cell clonotype expansion, supporting the need for antigen-targeted immunotherapy strategies.",high,40667050,A Human Tumor-Immune Organoid Model of Glioblastoma.,2025
clinical,,"TCR repertoire analysis, cytokine profiling",multiple sclerosis,"Combined cytokine profiling and T-cell receptor repertoire analysis reveals correlations between T-cell repertoire composition and cytokine imbalance in MS patients, providing insights into MS-driving immune responses.",high,40666507,T-cell repertoire correlates with cytokine imbalance in multiple sclerosis patients.,2025
basic_research,,,glioma,T cell infiltration patterns in glioma tissue are important for immunotherapeutic development and serve as prognostic and diagnostic biomarkers.,high,40666357,Mapping T cell infiltration patterns in glioma tumor tissue.,2025
basic_research,,,cancer cachexia and checkpoint inhibitor efficacy/toxicity,Cancer cachexia-induced thymic microenvironment remodeling and involution affects immune checkpoint inhibitor treatment efficacy and toxicity.,high,40665793,Thymic Microenvironment Remodeling in Cancer Cachexia as a Determinant of Checkpoint Inhibitor Efficacy and Toxicity.,2025
clinical,,bulk TCR-seq,metastatic non-small cell lung cancer,Napsin A-specific T-cell clonotypes in peripheral blood are associated with improved clinical outcomes in patients receiving checkpoint immunotherapy for metastatic non-small cell lung cancer.,high,40664448,Napsin A-specific T-cell clonotypes are associated with improved clinical outcomes in patients receiving checkpoint immunotherapy for metastatic non-small cell lung cancer.,2025
basic_research,,,none,"Thymocytes expressing a monoclonal TCR can mature through unconventional β-selection-independent pathways dependent on interleukin-7 and γδTCR, generating functional αβ T cells with uniform TCR expression despite compromised β-selection.",medium,40664176,Maturation of thymocytes with a monoclonal TCR under control of Trac promoter elements in the absence of β-selection.,2025
computational,,"high-throughput multiplex assays, TCR-seq",none,"G2VTCR, a graph embedding method using Weisfeiler-Lehman iterations on atomic-level representations of TCR CDR3 and antigens, outperforms existing embedding methods including protein language models for TCR-antigen binding prediction and TCR clustering.",medium,40654984,G2VTCR: predicting antigen binding specificity by Weisfeiler-Lehman graph embedding of T cell receptor sequences.,2025
computational,,TCR-seq,tuberculosis,PDI-TCR is a novel computational approach for assigning antigen specificity to TCR sequences and characterizing CD4 T cell dynamics in tuberculosis infection.,high,40654739,Peptide Driven Identification of TCRs (PDI-TCR) reveals dynamics and phenotypes of CD4 T cells in tuberculosis.,2025
basic_research,,TCR profiling,melanoma,"Neoantigen-specific T cells expanded in lymph nodes and infiltrated tumors after peptide vaccination and anti-CTLA4 therapy, but showed signs of exhaustion despite therapeutic intervention.",high,40650228,"Nodal Expansion, Tumor Infiltration and Exhaustion of Neoepitope-Specific Th Cells After Prophylactic Peptide Vaccination and Anti-CTLA4 Therapy in Mouse Melanoma B16.",2025
basic_research,,Iso-seq (long-read high-throughput isoform sequencing),none,Tregs possess a unique isoform repertoire including preferential expression of full-length FOXP3 isoform and TCR-stimulation-dependent upregulation of ICOS and PD-L1 isoforms that are distinct from conventional T cells.,medium,40650080,Full-Length Transcriptome Sequencing Reveals Treg-Specific Isoform Expression upon Activation.,2025
computational,,TCR-epitope prediction models,none,A benchmark of 21 TCR-epitope prediction models revealed that all methods successfully predict binding to frequently observed epitopes but fail for rare epitopes and exhibit bias across different epitope classes.,high,40628266,Benchmarking of T cell receptor-epitope predictors with ePytope-TCR.,2025
clinical,,TCR sequencing,non-small cell lung cancer (NSCLC),Peripheral blood TCR repertoire composition prior to treatment may serve as a predictive biomarker for clinical response in NSCLC patients receiving immunochemotherapy.,high,40597837,Pre-treatment peripheral blood TCR repertoire as a predictor of response in patients with NSCLC treated with immunochemotherapy.,2025
clinical,,"flow cytometry, TCR sequencing, RNA sequencing, immunofluorescence, histology",immunological aging,"Functional thymic tissue persists in older adults with heterogeneous output influenced by sex and smoking, correlating with improved TCR diversity and immune protection.",high,40591412,Heterogeneity of thymic output in the elderly and its association with sex and smoking.,2025
clinical,633.0,TCR sequencing,lung cancer,Blood T-cell receptor profiling using the Tumor Immune Lymphocyte Score (TILS-A) can detect lung cancer with predictive value independent of clinical risk factors and shows promise for early cancer detection.,high,40590661,T-cell Receptor Profiling of Blood to Detect Lung Cancer.,2025
clinical,,BCR-seq and TCR-seq,"Pure red cell aplasia, autoimmune hemolytic anemia, aplastic anemia","B-cell and T-cell receptor repertoire analysis reveals distinct autoimmune mechanisms across pure red cell aplasia, autoimmune hemolytic anemia, and aplastic anemia.",high,40587957,"Exploration of B- and T-Cell Receptor Repertoires Reveals Distinct Mechanisms in Pure Red Cell Aplasia, Autoimmune Hemolytic Anemia, and Aplastic Anemia.",2025
clinical,19.0,"bulk RNA-seq, whole exome sequencing, TCR repertoire analysis",advanced HER2-negative breast cancer,Sequencing analysis reveals that responders to entinostat combined with nivolumab and ipilimumab demonstrate preexisting immune-activated tumor microenvironment and significant alterations in immune cell populations and TCR diversity after triplet treatment.,high,40585251,Sequencing analysis reveals evidence of immune activation in advanced HER2 negative breast cancer responders treated with entinostat + nivolumab + ipilimumab.,2025
clinical,,"TCRβ sequencing, flow cytometry",lung transplantation rejection and infection,"HvG TCR enrichment in bronchoalveolar lavage is associated with early rejection and reduced pulmonary function, while pathogen-reactive TCRs drive infection responses, providing mechanistic insights for tailored immunosuppression strategies.",high,40585171,Immunogenomic landscape of T cell repertoire after human lung transplantation and its clinical significance.,2025
clinical,,TCR-seq,Multiple Sclerosis,"Distinct TCR clonotypes in Sardinian MS patients, particularly MAIT and iNKT cell clonotypes targeting BST2 and HCV antigens, suggest these cell populations contribute to MS pathogenesis.",high,40583051,Distinct T Cell Receptor Clonotypes in the Sardinian Population Highlight the Role of Mucosal-Associated Invariant T Cells and Invariant Natural Killer T Cells in Multiple Sclerosis.,2025
clinical,,,gastrointestinal tumors,"Proton beam therapy produces less severe lymphopenia compared to photon-based radiotherapy, suggesting greater potential for synergy with immune checkpoint blockade immunotherapy.",high,40574667,The differential immunological impact of photon vs proton radiation therapy in high-grade lymphopenia in patients with gastrointestinal tumors.,2025
,,,,,,40573882,Longitudinal Immunoprofiling of the CD8,2025
basic_research,,TCR sequencing,Trypanosoma cruzi infection,"TSKb20-specific CD8+ T cells exhibit broad cross-reactivity and functional effector capacity despite being dispensable for immune control, challenging the paradigm that individual immunodominant parasite epitopes are critical for infection control.",medium,40570098,Highly cross-reactive and competent effectors dominate the CD8+ T cell response in Trypanosoma cruzi infection.,2025
basic_research,,"micro-well-based single-cell multi-omics platform, scRNA-seq, targeted cell surface proteomics, AIRR sequencing, dextramers",human cytomegalovirus (CMV) infection,A comprehensive single-cell multi-omics workflow successfully identified paired TCR sequences for three prominent CMV epitopes and validated dCODE dextramer sensitivity for detecting antigen-specific T cells at low frequencies.,medium,40555232,Characterization of human CMV-specific CD8,2025
clinical,,,Psoriasis vulgaris,"Combined treatment with acupoint injection, BCG-PSN, and thymosin enteric-coated tablets improves psoriasis vulgaris through regulation of T cell subsets.",high,40551724,Acupoint Injection Combined with BCG-PSN and Thymosin Enteric-Coated Tablets Improve China Han Psoriasis Vulgaris by Regulating T Cell Subsets.,2025
computational,89.0,"whole exome sequencing, whole genome sequencing",pancreatic ductal adenocarcinoma (PDAC),"HRD-positive PDACs show increased TMB and neoantigen load but paradoxically exhibit lower CD8+ T cell infiltration and clonal diversity, suggesting a potential resistance mechanism to immunotherapy.",high,40533854,"Homologous recombination-DNA damage response defects increase TMB and neoantigen load, but not effector T cell density and clonal diversity in pancreatic cancer.",2025
basic_research,,,Chagas disease,The study investigates associations between immunoglobulin and T cell receptor repertoires and their relationship with Trypanosoma cruzi parasite diversity and host immune responses in naturally infected rhesus macaques to understand pathogenic mechanisms in Chagas disease.,high,40533759,Association of antibody and T cell receptor repertoires in Trypanosoma cruzi infected rhesus macaques and host response to infection.,2025
